Origin,Destination,Fare
,,
CPM,PAD,19500
,,
CPM,BRI,1340
,,
BRI,PAD,23880
,,
STP,EUS,2020
,,
KGX,EUS,2020
,,
MYB,EUS,2020
,,
CHX,EUS,-1
,,
CMD,EUS,720
,,
ZFD,EUS,2020
,,
CTK,EUS,2020
,,
BFR,EUS,2020
,,
WAT,EUS,-1
,,
PAD,EUS,-1
,,
WAE,EUS,-1
,,
KTW,EUS,720
,,
CIR,EUS,720
,,
BMT,BRI,320
,,
LWH,BRI,200
,,
MTP,BRI,200
,,
RDA,BRI,200
,,
CFN,BRI,200
,,
PSN,BRI,330
,,
SRD,BRI,200
,,
SML,BRI,300
,,
FIT,BRI,500
,,
KYN,BRI,520
,,
SHH,BRI,300
,,
BPW,BRI,520
,,
PWY,BRI,520
,,
AVN,BRI,300
,,
SAR,BRI,300
,,
NLS,BRI,550
,,
PIL,BRI,740
,,
SVB,BRI,300
,,
YAE,BRI,720
,,
OLF,BRI,920
